Cmp,sample, R,AP,short_sample,recovery
Chlorzoxazone,3.0 5,4180.544902731273,2843.568320906757,3000,0.6801908332688807
Chlorzoxazone,750 1,1030.1611683878796,693.8279247962565,750,0.6735139569297124
Chlorzoxazone,750 2,1093.5622400261,686.6339613968034,750,0.6278874089328611
Chlorzoxazone,750 3,997.372858875954,737.8463879963784,750,0.7397899205197306
Chlorzoxazone,750 4,1043.5477182218535,772.9738911372914,750,0.7407173410856528
Chlorzoxazone,750 5,1035.529046497491,762.8049099473376,750,0.7366330404032619
Dextromethorphan,250 1,982.2774152420828,249.44732407136473,250,0.2539479379253449
Dextromethorphan,250 2,1072.252371594307,255.85373494954732,250,0.23861335421354615
Dextromethorphan,250 3,1193.404978085985,238.82155638512637,250,0.20011778128171948
Dextromethorphan,250 4,1109.1433871451482,232.35623654124583,250,0.20949161238684688
Dextromethorphan,250 5,881.1770108254872,249.42612030025188,250,0.2830601766001468
Dextromethorphan,3.0 1,11408.107683242528,2879.8095405758368,3000,0.2524353398948026
Dextromethorphan,3.0 2,12114.305589099613,3254.8544178068455,3000,0.26867857954116214
Dextromethorphan,3.0 3,11148.46717862743,3037.2677857267054,3000,0.2724381510984226
Dextromethorphan,3.0 4,10969.982447074195,3567.937546488125,3000,0.32524551098436166
Dextromethorphan,3.0 5,9936.021280951394,3109.8510772215304,3000,0.3129875620519762
Dextromethorphan,750 1,2575.359765298222,756.0786286021471,750,0.2935817507091459
Dextromethorphan,750 2,2461.6217255074366,786.1933880262866,750,0.31938026053301155
Dextromethorphan,750 3,2528.5519227301406,720.3903038194692,750,0.2849023179407943
Dextromethorphan,750 4,2494.4251612296357,704.4735172782625,750,0.2824191834767213
Dextromethorphan,750 5,2646.9937103145853,746.6513574347136,750,0.2820752291647784
Dextrophan,250 1,601.7455718219371,258.56054309999126,250,0.4296841642176672
Dextrophan,250 2,564.0527807421249,269.13184583301063,250,0.47713947173332527
Dextrophan,250 3,660.8028878417363,284.75262976213617,250,0.43091916667037183
Dextrophan,250 4,633.8857892302149,315.1518736115304,250,0.4971745367477759
Dextrophan,250 5,487.3053607565589,297.1014761670058,250,0.609682347236536
Dextrophan,3.0 1,5627.956212651978,4177.681257230643,3000,0.7423087706046768
Dextrophan,3.0 2,6295.8121098769825,3018.9771142873115,3000,0.4795214757999347
Dextrophan,3.0 3,6347.170146578237,3456.955769941238,3000,0.5446452025246061
Dextrophan,3.0 4,5894.985485798201,3128.8884723721594,3000,0.5307711918731718
Dextrophan,3.0 5,5389.718755414391,4002.723145406824,3000,0.74265900078474
Dextrophan,750 1,1421.403798080556,740.5718575295168,750,0.5210144073975141
Dextrophan,750 2,1487.5403087404702,871.5281689188032,750,0.5858854135231759
Dextrophan,750 3,1177.953587815091,896.9175522952801,750,0.7614201116012675
Dextrophan,750 4,1321.0685385872475,889.3677327021996,750,0.6732184642390248
Dextrophan,750 5,1304.9191185834552,853.7581752272881,750,0.6542613738038252
DIA,2.5 1,5292.602214712304,3387.2320208373603,3000,0.6399936899511508
DIA,2.5 2,4672.488146944179,3237.697193946816,3000,0.6929278560212677
DIA,2.5 3,5208.259494421025,3563.555489813938,3000,0.6842123541715119
DIA,2.5 4,4979.755151485968,2965.3576901334427,3000,0.5954826291506671
DIA,2.5 5,5052.439240444955,3231.4859990290124,3000,0.6395892845500946
DIA,250 1,281.5686568343508,191.36833694210054,250,0.6796507079077488
DIA,250 2,353.41368431789215,240.38918795124482,250,0.6801920769287957
DIA,250 3,337.39339931890936,173.71539864671104,250,0.514874917521764
DIA,250 4,389.2969050776337,249.88738659918909,250,0.6418941002095983
DIA,250 5,364.64916580917,107.89098065568032,250,0.29587612086336806
DIA,750 1,876.2480197313016,819.7139930159565,750,0.9354817067287854
DIA,750 2,1018.1536337537627,797.5169520827467,750,0.7832972604953877
DIA,750 3,989.5342275563926,461.604081325474,750,0.4664862199515657
DIA,750 4,1132.436616098973,577.6574105251948,750,0.510101318089761
DIA,750 5,1036.37899077969,706.5026743220733,750,0.6817030069188843
Diclofenac,250 1,342.1524637431399,231.37276989046157,250,0.6762271046049148
Diclofenac,250 2,353.2763326710109,253.4234883795462,250,0.7173520129794463
Diclofenac,250 3,353.297568925365,240.38087243545164,250,0.6803920931769353
Diclofenac,250 4,364.24149357372085,232.7910602551035,250,0.6391118649638077
Diclofenac,250 5,366.7926987985333,245.03851345192902,250,0.6680572275690807
Diclofenac,3.0 1,3998.687431968776,2903.354249712373,3000,0.7260768187332138
Diclofenac,3.0 2,4155.403330119759,2864.08320681983,3000,0.6892431322033155
Diclofenac,3.0 3,4053.088427668814,2876.0823264893993,3000,0.7096026592599203
Diclofenac,3.0 4,4321.436764976876,2941.5439933248554,3000,0.6806865756233265
Diclofenac,3.0 5,4252.438648800408,2871.4638507606574,3000,0.6752510942328781
Diclofenac,750 1,984.0181113304147,705.8616873581619,750,0.7173259101947026
Diclofenac,750 2,1036.283418359642,690.4289164445548,750,0.6662549107824686
Diclofenac,750 3,979.1465585646326,736.4352246924612,750,0.7521195047368895
