Cmp,sample, R,AP,short_sample,recovery
Dextromethorphan,250 3,1193.404978085985,238.82155638512637,250,0.20011778128171948
Dextromethorphan,250 4,1109.1433871451482,232.35623654124583,250,0.20949161238684688
Dextromethorphan,250 5,881.1770108254872,249.42612030025188,250,0.2830601766001468
Dextromethorphan,3.0 1,11408.107683242528,2879.8095405758368,3.0,0.2524353398948026
Dextromethorphan,3.0 2,12114.305589099613,3254.8544178068455,3.0,0.26867857954116214
Dextromethorphan,3.0 3,11148.46717862743,3037.2677857267054,3.0,0.2724381510984226
Dextromethorphan,3.0 4,10969.982447074195,3567.937546488125,3.0,0.32524551098436166
Dextromethorphan,3.0 5,9936.021280951394,3109.8510772215304,3.0,0.3129875620519762
Dextromethorphan,750 1,2575.359765298222,756.0786286021471,750,0.2935817507091459
Dextromethorphan,750 2,2461.6217255074366,786.1933880262866,750,0.31938026053301155
Dextromethorphan,750 3,2528.5519227301406,720.3903038194692,750,0.2849023179407943
Dextromethorphan,750 4,2494.4251612296357,704.4735172782625,750,0.2824191834767213
Dextromethorphan,750 5,2646.9937103145853,746.6513574347136,750,0.2820752291647784
Dextrophan,250 1,601.7455718219371,258.56054309999126,250,0.4296841642176672
Dextrophan,250 2,564.0527807421249,269.13184583301063,250,0.47713947173332527
Dextrophan,250 3,660.8028878417363,284.75262976213617,250,0.43091916667037183
Dextrophan,250 4,633.8857892302149,315.1518736115304,250,0.4971745367477759
Dextrophan,250 5,487.3053607565589,297.1014761670058,250,0.609682347236536
Dextrophan,3.0 1,5627.956212651978,4177.681257230643,3.0,0.7423087706046768
Dextrophan,3.0 2,6295.8121098769825,3018.9771142873115,3.0,0.4795214757999347
Dextrophan,3.0 3,6347.170146578237,3456.955769941238,3.0,0.5446452025246061
Dextrophan,3.0 4,5894.985485798201,3128.8884723721594,3.0,0.5307711918731718
Dextrophan,3.0 5,5389.718755414391,4002.723145406824,3.0,0.74265900078474
Dextrophan,750 1,1421.403798080556,740.5718575295168,750,0.5210144073975141
Dextrophan,750 2,1487.5403087404702,871.5281689188032,750,0.5858854135231759
Dextrophan,750 3,1177.953587815091,896.9175522952801,750,0.7614201116012675
Dextrophan,750 4,1321.0685385872475,889.3677327021996,750,0.6732184642390248
Dextrophan,750 5,1304.9191185834552,853.7581752272881,750,0.6542613738038252
Diclofenac,250 1,342.1524637431399,231.37276989046157,250,0.6762271046049148
Diclofenac,250 2,353.2763326710109,253.4234883795462,250,0.7173520129794463
Diclofenac,250 3,353.297568925365,240.38087243545164,250,0.6803920931769353
Diclofenac,250 4,364.24149357372085,232.7910602551035,250,0.6391118649638077
Diclofenac,250 5,366.7926987985333,245.03851345192902,250,0.6680572275690807
Diclofenac,3.0 1,3998.687431968776,2903.354249712373,3.0,0.7260768187332138
Diclofenac,3.0 2,4155.403330119759,2864.08320681983,3.0,0.6892431322033155
Diclofenac,3.0 3,4053.088427668814,2876.0823264893993,3.0,0.7096026592599203
Diclofenac,3.0 4,4321.436764976876,2941.5439933248554,3.0,0.6806865756233265
Diclofenac,3.0 5,4252.438648800408,2871.4638507606574,3.0,0.6752510942328781
Diclofenac,750 1,984.0181113304147,705.8616873581619,750,0.7173259101947026
Diclofenac,750 2,1036.283418359642,690.4289164445548,750,0.6662549107824686
Diclofenac,750 3,979.1465585646326,736.4352246924612,750,0.7521195047368895
Diclofenac,750 4,1011.9200608104906,717.6159125360906,750,0.7091626506162166
Diclofenac,750 5,968.4449767546936,722.7993089070102,750,0.746350413555911
OH Chlorzoxazone,250 1,375.0765768897354,260.5265422630946,250,0.6945956061118791
OH Chlorzoxazone,250 2,339.6719633766279,263.5940235755379,250,0.7760252596510744
OH Chlorzoxazone,250 3,548.6726047842412,258.0491404749491,250,0.47031533600337816
OH Chlorzoxazone,250 4,458.58916027454234,319.9178604912149,250,0.6976132194221306
OH Chlorzoxazone,250 5,442.9924979602756,288.0068266498474,250,0.6501392867282231
OH Chlorzoxazone,3.0 1,3453.871098508531,3175.2907855228295,3.0,0.9193425854525957
OH Chlorzoxazone,3.0 2,4559.106655521098,4260.465881636752,3.0,0.9344957693580844
OH Chlorzoxazone,3.0 3,3723.9881653774464,3148.749161480733,3.0,0.8455314629501757
OH Chlorzoxazone,3.0 4,4093.781448268379,3059.481121399368,3.0,0.7473484259140146
OH Chlorzoxazone,3.0 5,3881.8615707671506,3246.9179342616553,3.0,0.8364332099611643
OH Chlorzoxazone,750 1,904.1333682378545,842.5291098263051,750,0.9318637486728143
OH Chlorzoxazone,750 2,1013.1454307984641,960.7587417324849,750,0.9482930214424468
OH Chlorzoxazone,750 3,1208.3378376884657,931.1692185899756,750,0.7706199289192913
OH Chlorzoxazone,750 4,998.700524412212,830.8520476618924,750,0.8319331244477844
OH Chlorzoxazone,750 5,1076.978173523702,860.4106596094316,750,0.7989118821176331
